#	x0	x1
2.201550	7.524319
0.648708	2.986501
0.052363	-2.272994
-0.609278	0.947740
1.567204	-4.494515
-0.291712	1.655126
-0.236356	2.663619
0.137515	2.372107
1.840996	-3.718939
2.002215	1.352616
1.494428	2.612977
0.823688	8.482183
1.939766	8.480940
0.367148	1.981970
-0.539442	-3.169419
1.562604	-1.719152
2.559816	-2.733082
-8.307980	-5.890975
-0.295503	-4.234650
1.359058	0.708451
-7.336643	-6.029280
2.262014	7.310097
1.240355	-2.533562
1.539434	-1.492370
1.046874	-1.650834
1.950220	1.269321
2.848532	0.972484
1.055979	-3.601044
0.881089	7.381785
0.190997	1.495565
0.325703	2.275659
0.837214	2.527859
1.890632	0.525777
1.260559	-2.401678
-5.900885	-6.342721
2.990046	8.233684
-6.935635	-6.498878
-0.583096	1.906155
1.719998	7.961171
0.483373	-1.887486
-0.752355	-0.274240
-7.193168	-6.039879
-6.815222	-7.031831
0.848127	7.027793
0.971996	2.488338
-6.551192	-5.270614
0.408100	-3.147878
-0.384637	1.092901
-0.091164	-4.469125
2.534319	7.371598
-6.346805	-5.880607
0.868777	1.899166
-0.983497	2.056342
-6.435867	-6.698494
-0.134676	-1.688891
2.321663	2.389520
0.007481	2.118479
3.032563	6.855698
-6.393596	-3.940120
1.261358	-0.192172
2.452210	9.489598
0.884671	0.706623
-5.681235	-6.350534
1.777227	2.040696
-6.248591	-4.968546
2.911714	-3.204015
-5.438523	-6.255923
0.402244	-3.512501
-6.858260	-6.450120
1.587722	6.885980
2.648421	0.075867
0.880840	9.157672
2.116624	-2.743929
1.263271	1.997468
2.346301	8.173972
-0.314508	1.240748
2.323832	6.778424
2.477932	-4.323120
1.096372	3.063969
-5.636915	-4.214961
-6.071290	-5.644514
-7.005905	-5.677478
1.722373	-3.134425
0.703323	1.480761
4.483823	9.108852
2.136005	-3.999982
-0.127015	1.084909
-7.489608	-5.086174
-6.845622	-5.464842
-7.035431	-5.862531
0.973946	7.813918
1.545868	8.632885
-6.028167	-5.003314
1.608325	-2.774250
-6.891374	-4.379969
3.262543	6.802844
0.122081	-3.791916
2.615496	6.282134
1.914126	-3.801499
-6.157642	-7.386842
-7.206620	-5.769203
-0.094907	3.646334
0.209617	1.017281
1.450302	1.249557
1.802061	-4.784056
1.338038	-2.677058
-7.297269	-5.787532
0.745383	-1.968957
2.676703	1.935975
1.689328	7.953211
1.914059	0.584471
0.727626	1.176249
-6.648978	-5.785135
1.319626	0.712087
-7.826374	-7.056125
2.132725	7.636884
0.471863	-4.516044
-6.049040	-5.070083
2.165865	1.644356
-0.387191	0.190840
2.164188	-3.680403
2.211304	-2.732018
3.040775	8.406087
1.002162	6.566172
-6.039292	-5.480983
-7.088001	-7.324867
0.176286	-2.725507
1.954081	-2.559376
-7.081919	-5.299555
-7.103494	-6.852970
-5.477608	-5.183112
2.047792	-4.535265
0.398006	-2.372940
1.684256	1.104804
2.206087	7.056201
2.432600	3.190641
1.971022	5.298762
0.864149	0.370555
0.511862	0.889004
4.370155	6.982813
2.166722	2.637772
0.774320	-1.644953
1.476948	5.438730
-0.059510	2.193143
2.358521	-2.204964
1.869842	5.429008
-7.743535	-6.518025
1.168062	1.493447
4.734117	8.436479
2.361120	7.912567
-0.803098	-3.235476
1.911993	2.976970
1.413859	2.113857
1.314678	2.745800
-6.244119	-6.905986
-4.900645	-7.926756
-0.278429	3.812905
-7.045175	-6.873469
2.221401	5.990406
2.480423	6.918360
-0.054104	2.261935
2.993878	1.656710
1.716839	7.532863
1.064043	-2.780328
2.044819	7.547246
0.198239	-2.043591
2.995720	5.775341
3.474010	7.051823
2.654679	2.122918
3.367453	-3.435522
1.897389	-1.736148
0.724009	-3.937160
0.887202	7.125909
-6.599614	-6.703859
1.351933	1.654662
-4.451895	-5.606501
-4.769197	-5.811839
-7.061191	-6.311325
1.133311	0.881223
-7.713604	-5.445422
2.275971	8.271257
2.751140	1.721410
2.155637	7.667759
2.261248	7.945267
-6.022937	-5.360256
-5.069921	-6.138943
-7.173391	-5.552880
1.194295	-2.098755
3.368429	7.736693
1.795233	7.664705
-5.632995	-6.160103
-4.746452	-4.961323
1.073512	-2.824330
-6.438475	-6.338173
-6.328849	-6.339263
1.226179	1.236009
0.096014	-2.074141
1.587809	0.454493
-5.403212	-7.008423
-6.285441	-4.857708
4.152558	8.586747
0.782510	-2.258912
1.909148	8.065021
0.445649	-4.805397
1.480079	7.734693
2.110713	7.537603
0.287897	0.766845
0.430850	5.933186
0.512320	-2.697902
-5.648782	-5.848120
-4.894726	-5.316327
-6.857758	-6.140398
-0.430185	-3.717201
-5.016287	-6.196341
1.003572	6.733237
0.343793	2.417569
0.012997	-2.758439
0.335626	-2.591664
0.090515	-3.882388
1.061280	6.782444
1.166064	0.601111
-1.142481	1.933027
1.284721	1.029020
-1.044648	-3.288588
1.319304	6.295443
4.319268	8.183075
1.628314	-1.445754
-6.700088	-7.254180
0.889189	-1.081005
-6.711521	-7.214004
-7.723423	-5.761009
1.531270	7.547819
-0.067807	-3.515835
1.265690	-3.510286
-5.962020	-5.633747
0.689732	7.143239
2.309924	-4.064500
2.435975	-3.321682
-6.393895	-4.342836
-5.502137	-5.550604
-8.202214	-6.551870
0.674743	7.024110
-6.177856	-5.902083
-7.621940	-5.363468
-7.235982	-5.250715
0.812418	5.019452
1.636891	2.260893
-4.103801	-6.268638
2.236195	8.064349
0.419887	3.374192
2.852177	6.593379
-0.940603	2.547695
-7.025313	-4.856514
3.905074	6.241451
1.878556	8.471551
0.613017	2.074355
1.652737	-4.582020
2.341094	7.342115
3.058508	8.109634
3.108991	8.514594
1.440886	3.003576
-7.037241	-6.937377
1.788557	0.890148
1.374650	-2.995396
-1.749847	-4.989934
-0.961579	-3.467036
-7.978892	-6.446150
-0.899349	-2.480963
3.054371	8.453740
0.518424	-2.823726
1.920833	-4.925871
1.136113	4.022563
-5.466236	-7.300884
-6.522840	-6.146233
1.359586	-2.374232
2.292104	-4.461116
2.018335	-3.735753
1.418591	3.370389
0.201657	2.406966
0.548951	7.019407
2.058678	6.857087
1.847864	6.578518
-7.481806	-6.562591
0.323903	8.773167
-1.180477	1.879250
-5.176396	-6.910349
0.148815	2.151235
0.139036	1.957025
1.526680	8.051180
1.167110	-4.029820
2.103189	7.960141
2.177629	-2.780671
1.676109	-3.843715
1.224680	9.200127
-7.300042	-7.089053
-7.256247	-5.885306
-6.580477	-6.067582
2.277778	1.931251
1.954112	8.716017
0.833266	2.880927
1.574139	2.128538
1.803601	7.362455
-0.055553	-3.111005
0.066564	-3.400389
-1.129148	-2.499636
1.217031	-2.859301
0.359581	-3.925450
-5.725380	-6.574507
0.186214	-2.783929
1.258074	8.149127
2.443019	7.570968
2.868379	8.061798
-7.970123	-5.441619
1.047504	-3.798702
-0.369861	-2.893649
3.253096	7.815932
-0.964814	-1.894851
2.170586	5.980543
-6.325203	-4.088016
3.502924	6.816685
0.541376	2.014953
1.371394	6.536150
0.219841	-4.195267
0.643913	1.425634
1.314643	2.140262
0.379931	8.568925
0.282709	2.316948
2.168411	9.692543
-0.405264	-4.031968
-6.518950	-7.033041
1.550017	3.494973
1.615686	-2.321290
-1.364722	-3.862204
0.847369	-5.397561
-0.584232	2.566338
0.677554	-2.895193
-5.684896	-4.596554
1.711165	-4.113408
0.606114	1.749451
0.492879	-4.026284
1.449988	5.715862
0.953065	5.978118
1.746519	5.967846
2.268934	-2.537801
0.502202	-2.945495
1.766455	2.369058
0.105481	-2.766138
0.934114	-3.816924
4.258329	8.526439
-6.685630	-6.175352
1.656337	1.155640
-1.153441	-4.757458
-8.064348	-5.568446
1.726016	-3.609468
3.996272	9.351439
2.419057	6.513403
-5.467609	-6.859314
0.529758	2.708161
-5.614039	-7.317371
2.318413	0.611829
0.342121	0.135602
1.848543	1.165768
